Question,Answer
풀럼 챔피언스리그 우승 기록,풀럼 FC는 UEFA 챔피언스리그에서 우승한 기록이 없습니다
풀럼의 최고 이적료 영입 선수가 누구야,풀럼 FC의 최고 이적료 영입 선수는 알렉시스 맥앨리스터(Alexis Mac Allister)입니다. 풀럼은 2024년에 알렉시스 맥앨리스터를 약 5500만 파운드 (약 7000만 달러)로 영입했습니다.
풀럼의 최고 이적료 영입 선수 알려줘,풀럼 FC의 최고 이적료 영입 선수는 알렉시스 맥앨리스터(Alexis Mac Allister)입니다. 풀럼은 2024년에 알렉시스 맥앨리스터를 약 5500만 파운드 (약 7000만 달러)로 영입했습니다.
풀럼 최고 이적료 영입,풀럼 FC의 최고 이적료 영입 선수는 알렉시스 맥앨리스터(Alexis Mac Allister)입니다. 풀럼은 2024년에 알렉시스 맥앨리스터를 약 5500만 파운드 (약 7000만 달러)로 영입했습니다.
풀럼의 최고 이적료 방출 선수가 누구야,풀럼 FC의 최고 이적료 방출 선수는 알렉시스 맥앨리스터(Alexis Mac Allister)입니다. 2024년에 풀럼은 알렉시스 맥앨리스터를 약 7000만 파운드 (약 9000만 달러)에 바르셀로나(Barcelona)로 이적시켰습니다.
풀럼의 최고 이적료 방출 선수 알려줘,풀럼 FC의 최고 이적료 방출 선수는 알렉시스 맥앨리스터(Alexis Mac Allister)입니다. 2024년에 풀럼은 알렉시스 맥앨리스터를 약 7000만 파운드 (약 9000만 달러)에 바르셀로나(Barcelona)로 이적시켰습니다.
풀럼 최고 이적료 방출,풀럼 FC의 최고 이적료 방출 선수는 알렉시스 맥앨리스터(Alexis Mac Allister)입니다. 2024년에 풀럼은 알렉시스 맥앨리스터를 약 7000만 파운드 (약 9000만 달러)에 바르셀로나(Barcelona)로 이적시켰습니다.
풀럼의 최근 영입 선수가 누구야,"2024년 현재 풀럼 FC의 최근 영입 선수는 타일러 애덤스(Tyler Adams)입니다. 타일러 애덤스는 미국 출신의 미드필더로, 풀럼은 그를 약 2500만 파운드 (약 3200만 달러)에 영입했습니다."
풀럼의 최근 영입 선수 알려줘,"2024년 현재 풀럼 FC의 최근 영입 선수는 타일러 애덤스(Tyler Adams)입니다. 타일러 애덤스는 미국 출신의 미드필더로, 풀럼은 그를 약 2500만 파운드 (약 3200만 달러)에 영입했습니다."
풀럼 최근 영입,"2024년 현재 풀럼 FC의 최근 영입 선수는 타일러 애덤스(Tyler Adams)입니다. 타일러 애덤스는 미국 출신의 미드필더로, 풀럼은 그를 약 2500만 파운드 (약 3200만 달러)에 영입했습니다."
풀럼의 최근 방출 선수가 누구야,2024년 현재 풀럼 FC의 최근 방출 선수는 안드레아스 페레이라(Andreas Pereira)입니다
풀럼의 최근 방출 선수 알려줘,2024년 현재 풀럼 FC의 최근 방출 선수는 안드레아스 페레이라(Andreas Pereira)입니다
풀럼 최근 방출,2024년 현재 풀럼 FC의 최근 방출 선수는 안드레아스 페레이라(Andreas Pereira)입니다
풀럼의 최다 출장 선수 알려줘,풀럼 FC의 최다 출장 선수는 스티브 시던(Steve Sidwell)입니다. 스티브 시던은 풀럼에서 2011년부터 2016년까지 활약하며 총 155경기에 출전했습니다.
풀럼의 최다 출장 선수 누구야,풀럼 FC의 최다 출장 선수는 스티브 시던(Steve Sidwell)입니다. 스티브 시던은 풀럼에서 2011년부터 2016년까지 활약하며 총 155경기에 출전했습니다.
풀럼 최다 출장,풀럼 FC의 최다 출장 선수는 스티브 시던(Steve Sidwell)입니다. 스티브 시던은 풀럼에서 2011년부터 2016년까지 활약하며 총 155경기에 출전했습니다.
풀럼의 최다 득점 선수 누구야,"풀럼 FC의 최다 득점 선수는 브라이언 맥브라이드(Brian McBride)입니다. 브라이언 맥브라이드는 미국 출신의 공격수로, 풀럼에서 2003년부터 2004년까지 활약했습니다"
풀럼의 최다 득점은 누가 했어,"풀럼 FC의 최다 득점 선수는 브라이언 맥브라이드(Brian McBride)입니다. 브라이언 맥브라이드는 미국 출신의 공격수로, 풀럼에서 2003년부터 2004년까지 활약했습니다"
풀럼 최다 득점,"풀럼 FC의 최다 득점 선수는 브라이언 맥브라이드(Brian McBride)입니다. 브라이언 맥브라이드는 미국 출신의 공격수로, 풀럼에서 2003년부터 2004년까지 활약했습니다"
풀럼의 역사에 대해 알려줘,"풀럼 FC(Fulham Football Club)는 1879년에 창립된 잉글랜드의 축구 클럽으로, 런던의 풀럼 지역에 위치하고 있습니다. 풀럼의 역사는 잉글랜드 축구의 전통과 지역 사회와 밀접한 연관이 있습니다. 다음은 풀럼 FC의 주요 역사적 사건과 발전 과정입니다: 

창립과 초기 역사 
1879년: 풀럼 FC가 창립되었습니다. 클럽은 주로 아마추어 팀으로 활동하며, 초기에는 지역 리그와 대회에서 경쟁했습니다. 
1900년대 초반 
1907년: 풀럼은 풋볼 리그의 세 번째 디비전(현재의 EFL 리그 1)에서 처음으로 리그에 가입합니다. 
1950년대와 1960년대 
1958년: 풀럼은 풋볼 리그 2부(현재의 EFL 챔피언십)에서 승격하며, 클럽 역사에서 중요한 전환점을 맞이합니다. 
1960년대: 풀럼은 꾸준히 하위 리그에서 활동하며, 당시 감독 프레드 프레스턴(Fred Preston)의 지도 아래 안정적인 성적을 거두었습니다. 
1970년대 
1975년: 풀럼은 FA컵 결승에 진출하지만, 웨스트 햄 유나이티드에게 패하여 준우승을 차지합니다. 이 시기는 클럽의 가장 큰 성과 중 하나로 기록됩니다. 
1990년대 
1997년: 풀럼은 감독 케빈 키건(Kevin Keegan)의 지도 아래 프리미어리그 승격을 달성합니다. 이 시점부터 클럽의 위상이 높아지기 시작했습니다. 
2000년대 초반 
2001년: 풀럼은 프리미어리그에서 안정적인 위치를 확보하며, 모하메드 알-파예드(Mohamed Al-Fayed)의 소유 아래 클럽의 발전이 가속화됩니다. 
2009-2010 시즌: 풀럼은 UEFA 유로파리그 결승에 진출하지만, 아틀레티코 마드리드에 패하여 준우승을 차지합니다. 이 성과는 클럽의 유럽 대회에서의 가장 큰 성과로 기록됩니다. 
최근 역사 
2018년: 풀럼은 프리미어리그로 승격하지만, 그 해 강등됩니다. 
2020-2021 시즌: 풀럼은 다시 프리미어리그로 승격합니다. 감독 마르코 실바(Marco Silva)의 지도 아래 팀의 전술적 접근이 강화됩니다. 
2022년: 풀럼은 프리미어리그에서의 경쟁력을 유지하며, 클럽의 성장을 이어갑니다. 
클럽의 상징 
크레이븐 코티지(Craven Cottage): 풀럼의 전통적인 홈구장으로, 클럽의 상징적인 장소입니다. 역사적이고 아늑한 분위기를 자랑합니다."
풀럼의 역사가 어떻게 돼,"풀럼 FC(Fulham Football Club)는 1879년에 창립된 잉글랜드의 축구 클럽으로, 런던의 풀럼 지역에 위치하고 있습니다. 풀럼의 역사는 잉글랜드 축구의 전통과 지역 사회와 밀접한 연관이 있습니다. 다음은 풀럼 FC의 주요 역사적 사건과 발전 과정입니다: 

창립과 초기 역사 
1879년: 풀럼 FC가 창립되었습니다. 클럽은 주로 아마추어 팀으로 활동하며, 초기에는 지역 리그와 대회에서 경쟁했습니다. 
1900년대 초반 
1907년: 풀럼은 풋볼 리그의 세 번째 디비전(현재의 EFL 리그 1)에서 처음으로 리그에 가입합니다. 
1950년대와 1960년대 
1958년: 풀럼은 풋볼 리그 2부(현재의 EFL 챔피언십)에서 승격하며, 클럽 역사에서 중요한 전환점을 맞이합니다. 
1960년대: 풀럼은 꾸준히 하위 리그에서 활동하며, 당시 감독 프레드 프레스턴(Fred Preston)의 지도 아래 안정적인 성적을 거두었습니다. 
1970년대 
1975년: 풀럼은 FA컵 결승에 진출하지만, 웨스트 햄 유나이티드에게 패하여 준우승을 차지합니다. 이 시기는 클럽의 가장 큰 성과 중 하나로 기록됩니다. 
1990년대 
1997년: 풀럼은 감독 케빈 키건(Kevin Keegan)의 지도 아래 프리미어리그 승격을 달성합니다. 이 시점부터 클럽의 위상이 높아지기 시작했습니다. 
2000년대 초반 
2001년: 풀럼은 프리미어리그에서 안정적인 위치를 확보하며, 모하메드 알-파예드(Mohamed Al-Fayed)의 소유 아래 클럽의 발전이 가속화됩니다. 
2009-2010 시즌: 풀럼은 UEFA 유로파리그 결승에 진출하지만, 아틀레티코 마드리드에 패하여 준우승을 차지합니다. 이 성과는 클럽의 유럽 대회에서의 가장 큰 성과로 기록됩니다. 
최근 역사 
2018년: 풀럼은 프리미어리그로 승격하지만, 그 해 강등됩니다. 
2020-2021 시즌: 풀럼은 다시 프리미어리그로 승격합니다. 감독 마르코 실바(Marco Silva)의 지도 아래 팀의 전술적 접근이 강화됩니다. 
2022년: 풀럼은 프리미어리그에서의 경쟁력을 유지하며, 클럽의 성장을 이어갑니다. 
클럽의 상징 
크레이븐 코티지(Craven Cottage): 풀럼의 전통적인 홈구장으로, 클럽의 상징적인 장소입니다. 역사적이고 아늑한 분위기를 자랑합니다."
풀럼 역사,"풀럼 FC(Fulham Football Club)는 1879년에 창립된 잉글랜드의 축구 클럽으로, 런던의 풀럼 지역에 위치하고 있습니다. 풀럼의 역사는 잉글랜드 축구의 전통과 지역 사회와 밀접한 연관이 있습니다. 다음은 풀럼 FC의 주요 역사적 사건과 발전 과정입니다: 

창립과 초기 역사 
1879년: 풀럼 FC가 창립되었습니다. 클럽은 주로 아마추어 팀으로 활동하며, 초기에는 지역 리그와 대회에서 경쟁했습니다. 
1900년대 초반 
1907년: 풀럼은 풋볼 리그의 세 번째 디비전(현재의 EFL 리그 1)에서 처음으로 리그에 가입합니다. 
1950년대와 1960년대 
1958년: 풀럼은 풋볼 리그 2부(현재의 EFL 챔피언십)에서 승격하며, 클럽 역사에서 중요한 전환점을 맞이합니다. 
1960년대: 풀럼은 꾸준히 하위 리그에서 활동하며, 당시 감독 프레드 프레스턴(Fred Preston)의 지도 아래 안정적인 성적을 거두었습니다. 
1970년대 
1975년: 풀럼은 FA컵 결승에 진출하지만, 웨스트 햄 유나이티드에게 패하여 준우승을 차지합니다. 이 시기는 클럽의 가장 큰 성과 중 하나로 기록됩니다. 
1990년대 
1997년: 풀럼은 감독 케빈 키건(Kevin Keegan)의 지도 아래 프리미어리그 승격을 달성합니다. 이 시점부터 클럽의 위상이 높아지기 시작했습니다. 
2000년대 초반 
2001년: 풀럼은 프리미어리그에서 안정적인 위치를 확보하며, 모하메드 알-파예드(Mohamed Al-Fayed)의 소유 아래 클럽의 발전이 가속화됩니다. 
2009-2010 시즌: 풀럼은 UEFA 유로파리그 결승에 진출하지만, 아틀레티코 마드리드에 패하여 준우승을 차지합니다. 이 성과는 클럽의 유럽 대회에서의 가장 큰 성과로 기록됩니다. 
최근 역사 
2018년: 풀럼은 프리미어리그로 승격하지만, 그 해 강등됩니다. 
2020-2021 시즌: 풀럼은 다시 프리미어리그로 승격합니다. 감독 마르코 실바(Marco Silva)의 지도 아래 팀의 전술적 접근이 강화됩니다. 
2022년: 풀럼은 프리미어리그에서의 경쟁력을 유지하며, 클럽의 성장을 이어갑니다. 
클럽의 상징 
크레이븐 코티지(Craven Cottage): 풀럼의 전통적인 홈구장으로, 클럽의 상징적인 장소입니다. 역사적이고 아늑한 분위기를 자랑합니다."
풀럼의 스폰서 알려줘,"2024년 현재 풀럼 FC의 주요 스폰서는 ""FPL""입니다. 풀럼 FC의 구단 스폰서는 계약에 따라 변경될 수 있으며, 최근 몇 년 동안 다양한 스폰서와 협력해왔습니다. 

FPL (Fantasy Premier League): 현재 풀럼의 유니폼과 광고에 나타나는 주요 스폰서입니다. FPL은 프리미어리그의 공식 판타지 축구 게임으로, 클럽과의 스폰서십을 통해 브랜드 노출을 강화하고 있습니다."
풀럼의 스폰서 누구야,"2024년 현재 풀럼 FC의 주요 스폰서는 ""FPL""입니다. 풀럼 FC의 구단 스폰서는 계약에 따라 변경될 수 있으며, 최근 몇 년 동안 다양한 스폰서와 협력해왔습니다. 

FPL (Fantasy Premier League): 현재 풀럼의 유니폼과 광고에 나타나는 주요 스폰서입니다. FPL은 프리미어리그의 공식 판타지 축구 게임으로, 클럽과의 스폰서십을 통해 브랜드 노출을 강화하고 있습니다."
풀럼 스폰서,"2024년 현재 풀럼 FC의 주요 스폰서는 ""FPL""입니다. 풀럼 FC의 구단 스폰서는 계약에 따라 변경될 수 있으며, 최근 몇 년 동안 다양한 스폰서와 협력해왔습니다. 

FPL (Fantasy Premier League): 현재 풀럼의 유니폼과 광고에 나타나는 주요 스폰서입니다. FPL은 프리미어리그의 공식 판타지 축구 게임으로, 클럽과의 스폰서십을 통해 브랜드 노출을 강화하고 있습니다."
풀럼의 역대 감독 알려줘,"풀럼 FC의 역대 감독들은 클럽의 역사를 통해 다양한 변화를 이끌어왔습니다. 아래는 풀럼 FC의 주요 감독들을 시간 순으로 정리한 목록입니다: 

초기 감독 
하워드 윌킨슨(Howard Wilkinson): 1966-1967 
피터 밴더(Peter Bander): 1968-1970 
1980년대 
존 뮤어(John Muir): 1982-1984 
로이 호지슨(Roy Hodgson): 1986-1987 
1990년대 
케빈 키건(Kevin Keegan): 1997-1999 - 풀럼을 프리미어리그로 승격시키는 데 중요한 역할을 했습니다. 
지미 모펫(Jimmy Moffat): 1999 
2000년대 초반 
크리스 콜먼(Chris Coleman): 2003-2007 - 클럽의 프리미어리그 안정화와 유로파리그 결승 진출에 기여했습니다. 
러셀 슬레이(Рussell Slade): 2007-2008 
롤란드 딕슨(Roland Dickson): 2008-2010 
2010년대 
마르틴 요올(Martin Jol): 2012-2013 
메흐메트 이레릭(Mehmet Erdem): 2013-2014 
페엘 드루지(Felipe Alves): 2014-2015 
최근 감독 
슬라비사 요카노비치(Slaviša Jokanović): 2015-2018 - 클럽을 프리미어리그로 승격시킨 감독입니다. 
클라우디오 라니에리(Claudio Ranieri): 2018 - 잠시 프리미어리그의 풀럼을 감독했습니다. 
스코트 파커(Scott Parker): 2018-2021 - 팀을 프리미어리그로 승격시키고, 이후 강등되었습니다. 
마르코 실바(Marco Silva): 2021-현재 - 클럽을 다시 프리미어리그로 승격시키며, 현재까지 감독으로 활동하고 있습니다."
풀럼의 역대 감독 누구야,"풀럼 FC의 역대 감독들은 클럽의 역사를 통해 다양한 변화를 이끌어왔습니다. 아래는 풀럼 FC의 주요 감독들을 시간 순으로 정리한 목록입니다: 

초기 감독 
하워드 윌킨슨(Howard Wilkinson): 1966-1967 
피터 밴더(Peter Bander): 1968-1970 
1980년대 
존 뮤어(John Muir): 1982-1984 
로이 호지슨(Roy Hodgson): 1986-1987 
1990년대 
케빈 키건(Kevin Keegan): 1997-1999 - 풀럼을 프리미어리그로 승격시키는 데 중요한 역할을 했습니다. 
지미 모펫(Jimmy Moffat): 1999 
2000년대 초반 
크리스 콜먼(Chris Coleman): 2003-2007 - 클럽의 프리미어리그 안정화와 유로파리그 결승 진출에 기여했습니다. 
러셀 슬레이(Рussell Slade): 2007-2008 
롤란드 딕슨(Roland Dickson): 2008-2010 
2010년대 
마르틴 요올(Martin Jol): 2012-2013 
메흐메트 이레릭(Mehmet Erdem): 2013-2014 
페엘 드루지(Felipe Alves): 2014-2015 
최근 감독 
슬라비사 요카노비치(Slaviša Jokanović): 2015-2018 - 클럽을 프리미어리그로 승격시킨 감독입니다. 
클라우디오 라니에리(Claudio Ranieri): 2018 - 잠시 프리미어리그의 풀럼을 감독했습니다. 
스코트 파커(Scott Parker): 2018-2021 - 팀을 프리미어리그로 승격시키고, 이후 강등되었습니다. 
마르코 실바(Marco Silva): 2021-현재 - 클럽을 다시 프리미어리그로 승격시키며, 현재까지 감독으로 활동하고 있습니다."
풀럼 역대 감독,"풀럼 FC의 역대 감독들은 클럽의 역사를 통해 다양한 변화를 이끌어왔습니다. 아래는 풀럼 FC의 주요 감독들을 시간 순으로 정리한 목록입니다: 

초기 감독 
하워드 윌킨슨(Howard Wilkinson): 1966-1967 
피터 밴더(Peter Bander): 1968-1970 
1980년대 
존 뮤어(John Muir): 1982-1984 
로이 호지슨(Roy Hodgson): 1986-1987 
1990년대 
케빈 키건(Kevin Keegan): 1997-1999 - 풀럼을 프리미어리그로 승격시키는 데 중요한 역할을 했습니다. 
지미 모펫(Jimmy Moffat): 1999 
2000년대 초반 
크리스 콜먼(Chris Coleman): 2003-2007 - 클럽의 프리미어리그 안정화와 유로파리그 결승 진출에 기여했습니다. 
러셀 슬레이(Рussell Slade): 2007-2008 
롤란드 딕슨(Roland Dickson): 2008-2010 
2010년대 
마르틴 요올(Martin Jol): 2012-2013 
메흐메트 이레릭(Mehmet Erdem): 2013-2014 
페엘 드루지(Felipe Alves): 2014-2015 
최근 감독 
슬라비사 요카노비치(Slaviša Jokanović): 2015-2018 - 클럽을 프리미어리그로 승격시킨 감독입니다. 
클라우디오 라니에리(Claudio Ranieri): 2018 - 잠시 프리미어리그의 풀럼을 감독했습니다. 
스코트 파커(Scott Parker): 2018-2021 - 팀을 프리미어리그로 승격시키고, 이후 강등되었습니다. 
마르코 실바(Marco Silva): 2021-현재 - 클럽을 다시 프리미어리그로 승격시키며, 현재까지 감독으로 활동하고 있습니다."
에버턴의 정식 명칭은 뭐야,"에버턴 FC(Everton FC)의 정식 명칭은 ""Everton Football Club""입니다"
에버턴의 정식 명칭 알려줘,"에버턴 FC(Everton FC)의 정식 명칭은 ""Everton Football Club""입니다"
에버턴 정식 명칭,"에버턴 FC(Everton FC)의 정식 명칭은 ""Everton Football Club""입니다"
에버턴의 별칭이 뭐야,"에버턴 FC(Everton FC)는 종종 다음과 같은 별칭으로 불립니다: ""The Toffees"": 이 별칭은 클럽의 지역적 전통과 관련이 있습니다. 에버턴의 홈구장 근처에는 전통적인 카페인 ""Toffee Shop""이 있었으며, 이로 인해 ""Toffees""라는 별칭이 붙었습니다. ""The Toffees""의 유래는 19세기 에버턴 지역의 유명한 사탕 가게에서 시작되었습니다. ""The Blues"": 에버턴은 전통적으로 파란색 유니폼을 착용하므로 이 별칭도 사용됩니다."
에버턴의 별칭 알려줘,"에버턴 FC(Everton FC)는 종종 다음과 같은 별칭으로 불립니다: ""The Toffees"": 이 별칭은 클럽의 지역적 전통과 관련이 있습니다. 에버턴의 홈구장 근처에는 전통적인 카페인 ""Toffee Shop""이 있었으며, 이로 인해 ""Toffees""라는 별칭이 붙었습니다. ""The Toffees""의 유래는 19세기 에버턴 지역의 유명한 사탕 가게에서 시작되었습니다. ""The Blues"": 에버턴은 전통적으로 파란색 유니폼을 착용하므로 이 별칭도 사용됩니다."
에버턴 별칭,"에버턴 FC(Everton FC)는 종종 다음과 같은 별칭으로 불립니다: ""The Toffees"": 이 별칭은 클럽의 지역적 전통과 관련이 있습니다. 에버턴의 홈구장 근처에는 전통적인 카페인 ""Toffee Shop""이 있었으며, 이로 인해 ""Toffees""라는 별칭이 붙었습니다. ""The Toffees""의 유래는 19세기 에버턴 지역의 유명한 사탕 가게에서 시작되었습니다. ""The Blues"": 에버턴은 전통적으로 파란색 유니폼을 착용하므로 이 별칭도 사용됩니다."
에버턴의 연고지가 어디야,"에버턴 FC의 연고지는 리버풀(Liverpool), 잉글랜드입니다"
에버턴의 연고지 알려줘,"에버턴 FC의 연고지는 리버풀(Liverpool), 잉글랜드입니다"
에버턴의 연고지,"에버턴 FC의 연고지는 리버풀(Liverpool), 잉글랜드입니다"
에버턴의 홈구장이 어디야,"에버턴 FC의 홈구장은 굿숍 파크(Goodison Park)입니다. 굿숍 파크는 잉글랜드 리버풀에 위치하고 있으며, 1892년에 개장되었습니다."
에버턴의 홈구장 알려줘,"에버턴 FC의 홈구장은 굿숍 파크(Goodison Park)입니다. 굿숍 파크는 잉글랜드 리버풀에 위치하고 있으며, 1892년에 개장되었습니다."
에버턴 홈구장,"에버턴 FC의 홈구장은 굿숍 파크(Goodison Park)입니다. 굿숍 파크는 잉글랜드 리버풀에 위치하고 있으며, 1892년에 개장되었습니다."
에버턴의 라이벌이 누구야,"에버턴 FC의 주요 라이벌은 리버풀 FC입니다. 이 두 팀 간의 경기를 ""머지사이드 더비(Merseyside Derby)""라고 부릅니다."
에버턴의 라이벌 알려줘,"에버턴 FC의 주요 라이벌은 리버풀 FC입니다. 이 두 팀 간의 경기를 ""머지사이드 더비(Merseyside Derby)""라고 부릅니다."
에버턴 라이벌,"에버턴 FC의 주요 라이벌은 리버풀 FC입니다. 이 두 팀 간의 경기를 ""머지사이드 더비(Merseyside Derby)""라고 부릅니다."
에버턴의 창립자가 누구야,에버턴 FC의 창립자는 존 헌터(John Hunter)입니다
에버턴의 창립자 알려줘,에버턴 FC의 창립자는 존 헌터(John Hunter)입니다
에버턴 창립자,에버턴 FC의 창립자는 존 헌터(John Hunter)입니다
에버턴의 구단주가 누구야,현재 에버턴 FC의 구단주는 팽칭슈( Farhad Moshiri)입니다.
에버턴의 구단주 알려줘,현재 에버턴 FC의 구단주는 팽칭슈( Farhad Moshiri)입니다.
에버턴 구단주,현재 에버턴 FC의 구단주는 팽칭슈( Farhad Moshiri)입니다.
에버턴의 회장이 누구야,2024년 현재 에버턴 FC의 회장은 빌 켄라이트(Bill Kenwright)입니다.
에버턴의 회장 알려줘,2024년 현재 에버턴 FC의 회장은 빌 켄라이트(Bill Kenwright)입니다.
에버턴 회장,2024년 현재 에버턴 FC의 회장은 빌 켄라이트(Bill Kenwright)입니다.
에버턴의 감독이 누구야,2024년 현재 에버턴 FC의 감독은 쇼니 다이치(Sean Dyche)입니다.
에버턴의 감독 알려줘,2024년 현재 에버턴 FC의 감독은 쇼니 다이치(Sean Dyche)입니다.
에버턴 감독,2024년 현재 에버턴 FC의 감독은 쇼니 다이치(Sean Dyche)입니다.
에버턴의 주장이 누구야,2024년 현재 에버턴 FC의 주장은 제임스 가너(James Garner)입니다
에버턴의 주장 알려줘,2024년 현재 에버턴 FC의 주장은 제임스 가너(James Garner)입니다
에버턴 주장,2024년 현재 에버턴 FC의 주장은 제임스 가너(James Garner)입니다
에버턴의 선수 목록 알려줘,"골키퍼 
조던 픽포드 (Jordan Pickford) 
아스미르 벡코비치 (Asmir Begović) 
수비수 
제임스 타르코프스키 (James Tarkowski) 
마이클 킨 (Michael Keane) 
루카스 디뉴 (Lucas Digne) 
코너 코디 (Conor Coady) 
브렌던 조너슨 (Brendan Johnson) 
사마르 무고 (Samuel Mugo) 
아담 워드 (Adam Ward) 
미드필더 
제임스 가너 (James Garner) 
아브두라이에 두쿠레 (Abdoulaye Doucouré) 
이르빙 로자르 (Irvine Lozar) 
타이렐 미첼 (Tyrell Mitchell) 
앤서니 고든 (Anthony Gordon) 
공격수 
드미트리 리샤르리송 (Demarai Gray) 
조나단 (Jonathan) 
키어런 애크 (Keiran Ake) 
노아 비셰트 (Noah Bishet)"
에버턴의 선수 목록 어떻게 돼,"골키퍼 
조던 픽포드 (Jordan Pickford) 
아스미르 벡코비치 (Asmir Begović) 
수비수 
제임스 타르코프스키 (James Tarkowski) 
마이클 킨 (Michael Keane) 
루카스 디뉴 (Lucas Digne) 
코너 코디 (Conor Coady) 
브렌던 조너슨 (Brendan Johnson) 
사마르 무고 (Samuel Mugo) 
아담 워드 (Adam Ward) 
미드필더 
제임스 가너 (James Garner) 
아브두라이에 두쿠레 (Abdoulaye Doucouré) 
이르빙 로자르 (Irvine Lozar) 
타이렐 미첼 (Tyrell Mitchell) 
앤서니 고든 (Anthony Gordon) 
공격수 
드미트리 리샤르리송 (Demarai Gray) 
조나단 (Jonathan) 
키어런 애크 (Keiran Ake) 
노아 비셰트 (Noah Bishet)"
에버턴 선수 목록,"골키퍼 
조던 픽포드 (Jordan Pickford) 
아스미르 벡코비치 (Asmir Begović) 
수비수 
제임스 타르코프스키 (James Tarkowski) 
마이클 킨 (Michael Keane) 
루카스 디뉴 (Lucas Digne) 
코너 코디 (Conor Coady) 
브렌던 조너슨 (Brendan Johnson) 
사마르 무고 (Samuel Mugo) 
아담 워드 (Adam Ward) 
미드필더 
제임스 가너 (James Garner) 
아브두라이에 두쿠레 (Abdoulaye Doucouré) 
이르빙 로자르 (Irvine Lozar) 
타이렐 미첼 (Tyrell Mitchell) 
앤서니 고든 (Anthony Gordon) 
공격수 
드미트리 리샤르리송 (Demarai Gray) 
조나단 (Jonathan) 
키어런 애크 (Keiran Ake) 
노아 비셰트 (Noah Bishet)"
에버턴 선수 명단,"골키퍼 
조던 픽포드 (Jordan Pickford) 
아스미르 벡코비치 (Asmir Begović) 
수비수 
제임스 타르코프스키 (James Tarkowski) 
마이클 킨 (Michael Keane) 
루카스 디뉴 (Lucas Digne) 
코너 코디 (Conor Coady) 
브렌던 조너슨 (Brendan Johnson) 
사마르 무고 (Samuel Mugo) 
아담 워드 (Adam Ward) 
미드필더 
제임스 가너 (James Garner) 
아브두라이에 두쿠레 (Abdoulaye Doucouré) 
이르빙 로자르 (Irvine Lozar) 
타이렐 미첼 (Tyrell Mitchell) 
앤서니 고든 (Anthony Gordon) 
공격수 
드미트리 리샤르리송 (Demarai Gray) 
조나단 (Jonathan) 
키어런 애크 (Keiran Ake) 
노아 비셰트 (Noah Bishet)"
에버턴의 선수 명단 알려줘,"골키퍼 
조던 픽포드 (Jordan Pickford) 
아스미르 벡코비치 (Asmir Begović) 
수비수 
제임스 타르코프스키 (James Tarkowski) 
마이클 킨 (Michael Keane) 
루카스 디뉴 (Lucas Digne) 
코너 코디 (Conor Coady) 
브렌던 조너슨 (Brendan Johnson) 
사마르 무고 (Samuel Mugo) 
아담 워드 (Adam Ward) 
미드필더 
제임스 가너 (James Garner) 
아브두라이에 두쿠레 (Abdoulaye Doucouré) 
이르빙 로자르 (Irvine Lozar) 
타이렐 미첼 (Tyrell Mitchell) 
앤서니 고든 (Anthony Gordon) 
공격수 
드미트리 리샤르리송 (Demarai Gray) 
조나단 (Jonathan) 
키어런 애크 (Keiran Ake) 
노아 비셰트 (Noah Bishet)"
에버턴의 UEFA 랭킹이 어떻게 돼,"
2024년 7월 20일 기준, 에버턴의 UEFA 랭킹은 24위입니다."
에버턴의 UEFA 랭킹 알려줘,"
2024년 7월 20일 기준, 에버턴의 UEFA 랭킹은 24위입니다."
에버턴 랭킹,"
2024년 7월 20일 기준, 에버턴의 UEFA 랭킹은 24위입니다."
에버턴의 EPL 우승 기록 알려줘,"에버턴이 최상위 리그에서 우승한 시즌은 다음과 같습니다: 

1890–91 
1927–28 
1931–32 
1938–39 
1962–63 
1969–70 
1973–74 
1984–85 
1986–87"
에버턴의 EPL 우승 기록이 어떻게 돼,"에버턴이 최상위 리그에서 우승한 시즌은 다음과 같습니다: 

1890–91 
1927–28 
1931–32 
1938–39 
1962–63 
1969–70 
1973–74 
1984–85 
1986–87"
에버턴 EPL 우승 기록,"에버턴이 최상위 리그에서 우승한 시즌은 다음과 같습니다: 

1890–91 
1927–28 
1931–32 
1938–39 
1962–63 
1969–70 
1973–74 
1984–85 
1986–87"
에버턴의 FA컵 우승 기록 알려줘,"에버턴 FC는 FA컵에서 총 5회 우승한 기록을 보유하고 있습니다. FA컵은 영국에서 가장 오래된 축구 대회 중 하나로, 에버턴의 FA컵 우승 시즌은 다음과 같습니다: 

1962–63 
1965–66 
1973–74 
1983–84 
1984–85"
에버턴의 FA컵 우승 기록이 어떻게 돼,"에버턴 FC는 FA컵에서 총 5회 우승한 기록을 보유하고 있습니다. FA컵은 영국에서 가장 오래된 축구 대회 중 하나로, 에버턴의 FA컵 우승 시즌은 다음과 같습니다: 

1962–63 
1965–66 
1973–74 
1983–84 
1984–85"
에버턴 FA컵 우승 기록,"에버턴 FC는 FA컵에서 총 5회 우승한 기록을 보유하고 있습니다. FA컵은 영국에서 가장 오래된 축구 대회 중 하나로, 에버턴의 FA컵 우승 시즌은 다음과 같습니다: 

1962–63 
1965–66 
1973–74 
1983–84 
1984–85"
